battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1029,1,1.1,1,3,1,34,0.4,101,4,6,607,1932,2616,9,14,18,0,0,1,2
1807,1,1.9,1,3,1,54,0.8,171,4,8,1201,854,1894,9,3,16,0,0,0,2
1116,0,2.4,1,4,0,55,0.5,80,7,14,184,1169,3924,10,4,6,1,1,1,3
1893,1,2.1,0,5,0,58,0.2,177,1,3,1559,1582,894,5,0,12,0,1,0,1
1409,0,2.7,1,12,0,48,0.6,182,3,14,949,843,566,17,14,18,1,0,0,0
603,1,2.3,0,5,1,39,0.5,129,2,2,1434,723,3085,18,12,5,0,1,1,2
1445,1,2.0,0,6,1,60,0.1,163,8,19,1649,961,3911,18,2,9,1,0,1,3
1741,0,0.8,0,7,1,50,0.2,191,6,12,925,841,3332,14,12,13,1,1,1,3
1688,1,1.1,0,1,1,3,0.4,191,1,20,1417,1474,2226,8,10,2,0,0,0,2
1380,1,2.8,0,4,0,25,0.9,150,1,1,1582,1652,2292,6,14,7,0,0,0,2
661,0,2.2,0,6,1,7,1.0,138,8,5,907,1659,1016,6,14,9,1,0,0,0
1055,0,0.6,0,5,0,38,0.8,182,7,4,697,1505,3506,6,2,8,0,0,1,3
1812,0,0.8,1,9,1,21,0.2,95,7,18,118,1406,3957,7,13,18,0,1,0,3
1439,0,0.8,1,19,0,37,0.7,182,7,2,1356,767,3660,17,6,12,1,0,1,3
806,1,2.3,0,3,0,49,0.6,156,4,17,12,1849,3226,19,0,20,1,0,1,2
680,0,1.0,1,16,0,55,0.6,103,1,6,1333,1464,1381,6,7,10,1,1,1,1
892,0,1.6,1,11,0,9,0.6,133,2,14,1591,1727,1917,12,7,17,1,0,1,1
1557,0,2.2,1,13,1,18,0.8,156,6,15,1297,1307,3101,13,0,17,1,1,1,3
1424,1,2.0,1,3,0,26,1.0,167,2,18,23,598,668,14,12,13,0,0,0,0
869,0,2.3,0,5,1,39,0.4,143,2,6,1257,1744,433,16,0,17,1,1,1,0
938,1,2.5,1,2,0,41,0.8,157,5,1,1279,1913,2315,13,15,20,1,0,0,2
514,1,2.2,1,6,0,2,0.3,93,8,2,1632,1950,900,9,7,7,0,0,0,0
1836,0,2.1,0,5,0,23,0.9,98,3,15,1498,800,1629,7,7,15,0,1,0,1
1119,0,2.8,0,10,1,41,0.6,161,8,13,140,1296,1528,13,0,20,1,0,1,1
1016,0,1.0,0,19,0,52,0.9,167,3,11,791,1343,292,6,9,17,1,0,0,0
569,0,0.8,1,13,1,18,0.2,115,3,2,1737,874,1152,19,11,20,0,1,0,0
1472,0,1.2,1,6,0,40,0.3,171,5,18,950,866,3995,9,15,4,1,0,1,3
1800,0,2.1,0,5,1,32,1.0,94,4,13,1711,813,2296,17,8,17,0,1,1,2
507,0,1.8,0,13,1,37,0.2,82,3,2,1433,1064,3261,17,12,20,1,1,0,2
1513,0,2.0,0,16,1,58,0.9,197,1,12,1521,1966,2367,9,12,14,1,0,0,3
564,0,1.5,0,18,0,2,0.5,104,4,17,1436,951,3045,6,13,16,0,1,0,2
505,1,3.0,1,12,1,33,1.0,142,2,14,1804,1483,804,7,1,3,0,1,1,0
892,0,2.0,1,11,1,38,1.0,159,3,15,242,1477,270,11,17,2,0,0,0,0
1704,0,2.7,0,13,0,20,0.3,128,7,20,1834,987,499,19,13,6,1,0,0,1
1256,1,1.5,0,16,1,64,0.4,130,6,14,488,1842,2530,19,16,15,0,0,1,2
1852,0,0.7,1,8,1,3,0.9,108,1,5,916,1313,3715,12,2,2,0,1,0,3
1547,0,1.4,1,9,1,59,0.9,188,4,3,421,846,2323,7,10,18,1,0,0,2
1155,0,2.8,1,17,1,20,0.6,168,1,2,60,721,635,16,6,18,1,1,1,0
1350,0,0.7,0,12,0,33,0.6,117,7,4,558,1769,3750,6,17,7,1,0,1,3
1021,1,2.4,0,7,1,61,0.5,190,1,13,1938,957,1137,5,7,11,1,0,0,1
1687,1,0.9,1,9,1,13,0.3,164,2,7,635,1055,959,11,16,17,0,0,0,0
